DATE,STR
1/1/1999,3
1/4/1999,3
1/22/1999,3
4/9/1999,2.5
11/5/1999,3
2/4/2000,3.25
3/17/2000,3.5
4/28/2000,3.75
6/9/2000,4.25
10/15/2008,3.75
11/12/2008,3.25
12/10/2008,2.5
1/21/2009,2
3/11/2009,1.5
4/8/2009,1.25
5/13/2009,1
4/13/2011,1.25
7/13/2011,1.5
11/9/2011,1.25
12/14/2011,1
7/11/2012,0.75
5/8/2013,0.5
11/13/2013,0.25
6/11/2014,0.15
9/10/2014,0.05
12/9/2015,0.05
3/16/2016,0
9/18/2019,0
7/27/2022,0.5
9/14/2022,1.25
11/2/2022,2
12/21/2022,2.5
2/8/2023,3
3/22/2023,3.5
5/10/2023,3.75
6/21/2023,4
8/2/2023,4.25
9/20/2023,4.5
